"id","uf","municipio","zona","lat","long","codTSE"
"61310-384","SP","Americana","384","-22.7401748","-47.3057685","61310"
"42757-113","MG","Carmésia","113","-19.0870863868602","-43.1458403032499","42757"
"24716-059","PE","Lagoa do Ouro","59","-9.124171837629239","-36.4643169318296","24716"
"82511-068","SC","Balneário Piçarras","68","-26.7691705377435","-48.6750513539987","82511"
"90131-049","MS","Anastácio","49","-20.4823601989565","-55.8045705990792","90131"
"04804-104","PA","Belterra","104","-2.64902016938132","-54.94267473932619","04804"
"74284-121","PR","Entre Rios do Oeste","121","-24.7081421694804","-54.2448936714884","74284"
"04251-065","PA","Barcarena","65","-1.50576700495036","-48.62707289251561","04251"
"68934-214","SP","Planalto","214","-21.0323282018639","-49.925719799209","68934"
"82813-067","SC","Rancho Queimado","67","-27.6772088633334","-49.0084323799639","82813"
"84824-022","RS","Dois Lajeados","22","-28.9752053854423","-51.8351029868648","84824"
"10243-013","PI","Coronel José Dias","13","-8.816369411203731","-42.4703571012192","10243"
"06050-002","AP","Macapá","2","0.0340239","-51.0625976","06050"
"24554-125","PE","Itaquitinga","125","-7.66639360825248","-35.1026145695038","24554"
"43338-282","MG","Coimbra","282","-20.8586595273859","-42.805939102564","43338"
"91553-038","MT","Santo Antônio do Leverger","38","-15.8691790434606","-56.0941622007565","91553"
"53210-121","MG","Senhora do Porto","121","-18.8980080193896","-43.0817557207791","53210"
"34991-147","BA","Dário Meira","147","-14.4350474383674","-39.9024656528413","34991"
"64378-162","SP","Gastão Vidigal","162","-20.7952394987477","-50.1902197322049","64378"
"18350-045","RN","São Fernando","45","-6.38386107281966","-37.1854030398376","18350"
"11436-068","PI","Padre Marcos","68","-7.35471211527857","-40.9058620823742","11436"
"41106-329","MG","Natalândia","329","-16.503836483103","-46.4975343552908","41106"
"95052-144","GO","Ouro Verde de Goiás","144","-16.2108276539917","-49.20386760278461","95052"
"72354-180","SP","Vera Cruz","180","-22.2247483141804","-49.82178165457611","72354"
"27898-025","AL","Maragogi","25","-9.015456485531679","-35.2230154091319","27898"
"75060-103","PR","Saudade do Iguaçu","103","-25.6936611639036","-52.6143393739758","75060"
"42528-147","MG","Verdelândia","147","-15.5945423468553","-43.6060222623997","42528"
"73253-004","TO","Juarina","4","-8.117423967342649","-49.0986431854272","73253"
"35939-095","BA","Irecê","95","-11.3033796239313","-41.8588604758612","35939"
"58190-129","RJ","Campos dos Goytacazes","129","-21.7547428","-41.326182","58190"
"98051-018","MS","Douradina","18","-22.0455302813855","-54.6079306686314","98051"
"67792-080","SP","Olímpia","80","-20.7372839843746","-48.9134917257694","67792"
"43117-001","MG","Cedro do Abaeté","1","-19.1471676514975","-45.71219493599239","43117"
"43559-300","MG","Conceição dos Ouros","300","-22.4174754890557","-45.7963266584857","43559"
"78638-099","PR","Santo Antônio do Paraíso","99","-23.4947194360864","-50.6468281629708","78638"
"51950-308","MG","Santa Vitória","308","-18.8439479819852","-50.1234651115175","51950"
"49034-298","MG","Nova Serrana","298","-19.8758673799581","-44.9855787363319","49034"
"10839-065","PI","Francisco Santos","65","-6.99417113731583","-41.1361573365002","10839"
"19739-015","PB","Caiçara","15","-6.617469790703661","-35.4691142820996","19739"
"88668-162","RS","Vale Verde","162","-29.782574938827","-52.1797223009284","88668"
"92363-140","GO","Montividiu","140","-17.4444620011816","-51.1751445984875","92363"
"58386-052","RJ","Macuco","52","-21.9902295044876","-42.2570738797263","58386"
"59250-202","RJ","Volta Redonda","202","-22.510877","-44.135327","59250"
"86738-050","RS","General Câmara","50","-29.902983740548","-51.7634306851003","86738"
"75671-153","PR","General Carneiro","153","-26.4258025258376","-51.3168589232395","75671"
"11495-031","PI","Palmeirais","31","-5.97979683587477","-43.061843522875","11495"
"48674-183","MG","Monte Sião","183","-22.4335488204872","-46.5737026933609","48674"
"72095-144","SP","Ubatuba","144","-23.4359649798277","-45.0720914754799","72095"
"47155-149","MG","Jequitinhonha","149","-16.4417689418661","-41.0071154423797","47155"
"01082-004","AC","Rodrigues Alves","4","-7.73360203347127","-72.6478549141997","01082"
"11835-023","PI","Santa Filomena","23","-9.10679570504101","-45.9205564410726","11835"
"41459-044","MG","Bocaiúva","44","-17.1121047326965","-43.8144435712164","41459"
"86770-070","RS","Getúlio Vargas","70","-27.8759119297453","-52.249574123331","86770"
"05177-082","PA","Porto de Moz","82","-1.7460900887513","-52.2424769190201","05177"
"80306-034","SC","Cocal do Sul","34","-28.6030228644837","-49.3271287199039","80306"
"93416-025","TO","Dianópolis","25","-11.6252318776921","-46.82040906694351","93416"
"40169-168","MG","Durandé","168","-20.2072388765844","-41.794261647372","40169"
"86690-098","RS","Garibaldi","98","-29.2545491120195","-51.5295484587997","86690"
"94170-016","TO","Itaporã do Tocantins","16","-8.568828611282161","-48.6932637032248","94170"
"96237-008","GO","Três Ranchos","8","-18.360798687853","-47.7793385108656","96237"
"53155-227","MG","Senador José Bento","227","-22.1666066770279","-46.1794726958333","53155"
"19259-049","PB","Aroeiras","49","-7.548462022461171","-35.7155929489148","19259"
"73598-003","TO","Ipueiras","3","-11.2462886212303","-48.4519262288947","73598"
"26336-131","PE","Itapissuma","131","-7.7740347644933","-34.8892710487235","26336"
"16101-028","RN","Bodó","28","-5.98804524974501","-36.413837702334","16101"
"40088-142","MG","Carneirinho","142","-19.6973263166814","-50.69142749366049","40088"
"56413-033","ES","Ecoporanga","33","-18.3752523789457","-40.8300811593362","56413"
"33693-177","BA","Belo Campo","177","-15.033496196728","-41.2600334790203","33693"
"76830-121","PR","Marechal Cândido Rondon","121","-24.5592544942861","-54.06000781645311","76830"
"95630-046","GO","Quirinópolis","46","-18.4515073553176","-50.4522625218091","95630"
"51497-283","MG","Santa Efigênia de Minas","283","-18.8198378226371","-42.4393126685705","51497"
"69850-164","SP","Riolândia","164","-19.9777343373589","-49.681159102897","69850"
"54054-004","MG","Umburatiba","4","-17.2536072097564","-40.5726450205228","54054"
"82155-040","SC","Mondaí","40","-27.1036116933375","-53.3986840279187","82155"
"28258-010","AL","Palmeira dos Índios","10","-9.40615879811547","-36.6309840973115","28258"
"28479-033","AL","Porto de Pedras","33","-9.15608616281895","-35.2970152177328","28479"
"53350-211","MG","Serra do Salitre","211","-19.111795762867","-46.692108726184","53350"
"04707-075","PA","Canaã dos Carajás","75","-6.53219661541585","-49.8489584319153","04707"
"60011-014","RJ","Rio de Janeiro","14","-22.8953333","-43.2804623","60011"
"79790-121","PR","Nova Santa Rosa","121","-24.46476453260181","-53.955116084308","79790"
"09270-111","MA","São Vicente Ferrer","111","-2.89073106428277","-44.8869045766146","09270"
"42501-210","MG","Varjão de Minas","210","-18.3837044632158","-46.033501545731","42501"
"63215-009","SP","Castilho","9","-20.8720265534923","-51.4894070558423","63215"
"13293-101","CE","Arneiroz","101","-6.31942580281547","-40.161443712374","13293"
"18996-011","RN","Vila Flor","11","-6.31279187072934","-35.0761274954455","18996"
"10367-068","PI","Marcolândia","68","-7.443556661118381","-40.6628542913824","10367"
"04936-037","PA","Moju","37","-1.88588899993785","-48.7671991273719","04936"
"36196-185","BA","Itanagra","185","-12.2681631434627","-38.0381809411938","36196"
"28177-034","AL","Olho d'Água Grande","34","-10.058494959676","-36.8067459676714","28177"
"76333-018","PR","Jaguariaíva","18","-24.2530564992928","-49.71218630196081","76333"
"46850-343","MG","Itumirim","343","-21.3137963374585","-44.8757878460442","46850"
"65471-052","SP","Itapetininga","52","-23.5878724993075","-48.0461428954547","65471"
"10618-059","PI","Cristino Castro","59","-8.82018628822386","-44.2244147473452","10618"
"96830-013","TO","Fátima","13","-10.7525087277385","-48.8989826586808","96830"
"47392-270","MG","Ladainha","270","-17.6244796691424","-41.740449939658","47392"
"54291-290","MG","Vieiras","290","-20.8653406925911","-42.2458035423232","54291"
"50717-174","MG","Prudente de Morais","174","-19.4835603818536","-44.1583906670618","50717"
"75248-032","PR","Coronel Domingos Soares","32","-26.2265477676971","-52.0345386761735","75248"
"69817-244","SP","Rio das Pedras","244","-22.8428607218243","-47.6044848861606","69817"
"24414-050","PE","Ingazeira","50","-7.67779719426514","-37.4576704743563","24414"
"49255-015","MG","Padre Paraíso","15","-17.0763186508918","-41.4849648092247","49255"
"19917-051","PB","Condado","51","-6.91230677706502","-37.6039713346287","19917"
"33138-163","BA","Alagoinhas","163","-12.1443171","-38.4023503","33138"
"42285-177","MG","Jenipapo de Minas","177","-17.0804230775619","-42.2560474559329","42285"
"16837-057","RN","Governador Dix-Sept Rosado","57","-5.45891384192703","-37.5219118430218","16837"
"37494-109","BA","Mutuípe","109","-13.2293733232608","-39.5041638520156","37494"
"80683-027","SC","Balneário Barra do Sul","27","-26.4564295663644","-48.6066458760074","80683"
"87181-062","RS","Nicolau Vergueiro","62","-28.5362148130741","-52.4624006731904","87181"
"88773-051","RS","São Leopoldo","51","-29.7615245","-51.1456818","88773"
"43796-253","MG","Cordislândia","253","-21.7912077545964","-45.7005297277009","43796"
"75639-205","PR","Foz do Iguaçu","205","-25.503257","-54.537408","75639"
"93262-123","GO","Buritinópolis","123","-14.4560230269015","-46.43107711489151","93262"
"79677-127","PR","Nova Olímpia","127","-23.4711009784115","-53.0912329510219","79677"
"98159-025","MS","Tacuru","25","-23.6347420213221","-55.0203205182963","98159"
"04570-009","PA","Curuçá","9","-0.732495509975845","-47.8512650859352","04570"
"12610-035","PI","São Gonçalo do Gurguéia","35","-10.0299401059094","-45.301405510563","12610"
"50938-160","MG","Ribeirão Vermelho","160","-21.1904143244108","-45.064782108458","50938"
"87050-023","RS","Ijuí","23","-28.3885365401951","-53.918066835708","87050"
"05339-046","PA","Santana do Araguaia","46","-9.32942452469776","-50.344804321129","05339"
"35734-025","BA","Ilhéus","25","-14.7878002","-39.0593537","35734"
"24015-065","PE","Custódia","65","-8.089001999736791","-37.6410965906668","24015"
"74934-184","PR","Cascavel","184","-24.9690746","-53.4931922","74934"
"00663-025","RO","Monte Negro","25","-10.2630977555518","-63.2955591672175","00663"
"42382-226","MG","Serranópolis de Minas","226","-15.8087837815767","-42.8743863930717","42382"
"85294-155","RS","Augusto Pestana","155","-28.5133519883222","-53.98947008072259","85294"
"24775-024","PE","Limoeiro","24","-7.8730131","-35.4404733","24775"
"41742-148","MG","Bonito de Minas","148","-15.3238044709842","-44.7580284448541","41742"
"19453-042","PB","Bom Jesus","42","-6.81795765097448","-38.6551428070451","19453"
"06114-009","AP","Ferreira Gomes","9","0.853977393114796","-51.1874290460046","06114"
"80160-028","SC","Urupema","28","-27.9526858090342","-49.8732112423988","80160"
"39179-190","BA","Tabocas do Brejo Velho","190","-12.7073009219107","-44.0111890670864","39179"
"53376-008","MG","Serrania","8","-21.5466806513295","-46.0431449357807","53376"
"16055-054","RN","Afonso Bezerra","54","-5.49873426795058","-36.5091482339596","16055"
"94390-095","GO","Jussara","95","-15.8663489228367","-50.8661265899967","94390"
"45993-046","MG","Ibituruna","46","-21.1464850105162","-44.7384635851603","45993"
"91820-028","MS","Juti","28","-22.8624718337163","-54.60132283125709","91820"
"60011-207","RJ","Rio de Janeiro","207","-22.880692","-43.323092","60011"
"66613-086","SP","Macatuba","86","-22.505549628176","-48.7114053869681","66613"
"34614-061","BA","Cocos","61","-14.1710775447687","-44.5456688581222","34614"
"48291-169","MG","Mendes Pimentel","169","-18.6617777400394","-41.4056151686685","48291"
"16810-009","RN","Goianinha","9","-6.25059038974617","-35.2177861245435","16810"
"30830-191","BA","Capim Grosso","191","-11.3815744572793","-40.0110006117175","30830"
"16012-022","RN","Acari","22","-6.44208508872319","-36.6437388699983","16012"
"71854-094","SP","Tejupá","94","-23.3405917455632","-49.3774419611386","71854"
"81957-102","SC","Lontras","102","-27.1574865629586","-49.5448293546842","81957"
"42870-077","MG","Carmo do Rio Claro","77","-20.9729965294975","-46.1219647340897","42870"
"41238-038","MG","Belo Horizonte","38","-19.806296","-43.959378","41238"
"85014-119","RS","Agudo","119","-29.645663362438","-53.2586916877151","85014"
"10707-020","PI","Capitão Gervásio Oliveira","20","-8.496837868111159","-41.8161163123905","10707"
"86894-096","RS","Guarani das Missões","96","-28.1417792565601","-54.56055592966089","86894"
"54151-310","MG","Várzea da Palma","310","-17.5975701765461","-44.7303465827323","54151"
"16497-029","RN","Carnaubais","29","-5.33978539414395","-36.8346423564497","16497"
"83771-039","SC","Vidal Ramos","39","-27.3957786979167","-49.3682191726114","83771"
"75000-122","PR","Itaipulândia","122","-25.1384806502357","-54.3050007423361","75000"
"19305-025","PB","Baraúna","25","-6.6424050350208","-36.2530413530428","19305"
"96431-012","TO","Xambioá","12","-6.41188501997015","-48.531601072817","96431"
"59072-061","RJ","Sapucaia","61","-21.9939558645367","-42.9141753604676","59072"
"47112-218","MG","Jequitaí","218","-17.2163725565375","-44.4416872765915","47112"
"93408-055","GO","Bonópolis","55","-13.6497465481339","-49.8371838013902","93408"
"01538-008","AC","Senador Guiomard","8","-10.1481735858712","-67.7431723600051","01538"
"74217-006","PR","Antonina","6","-25.4301661315915","-48.7129000617478","74217"
"70653-120","SP","Santo Antônio do Pinhal","120","-22.8311934015836","-45.6792788632616","70653"
"86355-019","RS","Encruzilhada do Sul","19","-30.5436573239429","-52.52204538985581","86355"
"92410-034","TO","Araguaína","34","-7.1857335","-48.2123825","92410"
"15830-035","CE","Viçosa do Ceará","35","-3.566012753083339","-41.0916290750336","15830"
"88234-055","RS","Rolante","55","-29.640762889185","-50.57344233458819","88234"
"90468-056","MT","Brasnorte","56","-12.1249381394923","-58.00267362778721","90468"
"61069-385","SP","Motuca","385","-21.5076094405457","-48.15066125439489","61069"
"69779-184","SP","Rinópolis","184","-21.727890998701","-50.7248383216513","69779"
"27111-018","AL","Barra de São Miguel","18","-9.83899825143112","-35.9074498726289","27111"
"07579-004","MA","Caxias","4","-4.8794772","-43.3778133","07579"
"40282-166","MG","Jaíba","166","-15.3429340531305","-43.6703288759638","40282"
"14230-041","CE","Irauçuba","41","-3.7454188015806","-39.7922381150857","14230"
"33812-065","BA","Boquira","65","-12.8208228296087","-42.7301154012177","33812"
"80241-054","SC","Santa Rosa do Sul","54","-29.1352882177613","-49.7176263735924","80241"
"21172-065","PB","Patos","65","-7.0248558","-37.272874","21172"
"66451-068","SP","Lorena","68","-22.7316930319565","-45.1242481441632","66451"
"51454-025","MG","Santa Bárbara do Tugúrio","25","-21.2462083888275","-43.5589487842784","51454"
"91081-043","MT","Ipiranga do Norte","43","-12.2368419997845","-56.1597931355503","91081"
