"id","uf","municipio","zona","lat","long","codTSE"
"89095-022","RS","Serafina Corrêa","22","-28.7107970706117","-51.93570860994029","89095"
"07749-029","MA","Jatobá","29","-5.81966693658443","-44.2199147698158","07749"
"58220-174","RJ","Areal","174","-22.2369120029052","-43.1010698051683","58220"
"21253-044","PB","Pedras de Fogo","44","-7.40153849975862","-35.1131779827065","21253"
"60011-229","RJ","Rio de Janeiro","229","-22.9149683","-43.2344101","60011"
"63134-388","SP","Carapicuíba","388","-23.560221","-46.826018","63134"
"00515-015","RO","Novo Horizonte do Oeste","15","-11.7097429196397","-61.9943876627606","00515"
"48739-083","MG","Morro do Pilar","83","-19.2183422245581","-43.3748041822981","48739"
"24295-064","PE","Iati","64","-9.04570925058618","-36.8472759684337","24295"
"87670-129","RS","Nova Petrópolis","129","-29.376208868628","-51.1069539239561","87670"
"41033-009","MG","Bandeira","9","-15.8849769786589","-40.5588864205795","41033"
"75353-177","PR","Curitiba","177","-25.429955","-49.328948","75353"
"78972-149","PR","São Tomé","149","-23.5355113611021","-52.5924836675634","78972"
"73610-032","TO","Barra do Ouro","32","-7.69176659840625","-47.6871349692244","73610"
"40029-274","MG","Araporã","274","-18.4419093760791","-49.19008664470031","40029"
"51691-264","MG","Santana de Pirapama","264","-19.0068859962737","-44.0381025080678","51691"
"25593-052","PE","São Bento do Una","52","-8.519867520306651","-36.4462983615963","25593"
"27294-044","AL","Campo Grande","44","-9.95692260299842","-36.7908400521347","27294"
"31356-026","SE","Nossa Senhora Aparecida","26","-10.3946514570748","-37.4544385459973","31356"
"04090-055","PA","Almeirim","55","-1.52733880271443","-52.5768350868127","04090"
"75132-049","PR","Colombo","49","-25.292491","-49.23116599999999","75132"
"68012-231","SP","Palestina","231","-20.390587469653","-49.4337823999184","68012"
"41238-035","MG","Belo Horizonte","35","-19.937678","-43.911500","41238"
"27235-046","AL","Cacimbinhas","46","-9.405162750753551","-36.9968696260237","27235"
"18490-008","RN","São Paulo do Potengi","8","-5.89982033358664","-35.7643696369494","18490"
"40509-269","MG","Novo Oriente de Minas","269","-17.4091656803341","-41.2220966101202","40509"
"35793-024","BA","Ipiaú","24","-14.1374736708154","-39.7356541802101","35793"
"01570-006","AC","Assis Brasil","6","-10.942865680565","-69.5634591746677","01570"
"51454-025","MG","Santa Bárbara do Tugúrio","25","-21.2462083888275","-43.5589487842784","51454"
"07277-022","MA","Balsas","22","-7.53116999000001","-46.0389926733405","07277"
"49557-006","MG","Passa-Vinte","6","-22.2089768777411","-44.2310487920843","49557"
"76694-159","PR","Lupionópolis","159","-22.7519945222991","-51.65687284023999","76694"
"33871-190","BA","Brejolândia","190","-12.4866933417202","-43.9656645942921","33871"
"74357-050","PR","Araucária","50","-25.5916449992644","-49.4019396967087","74357"
"90018-039","MT","Acorizal","39","-15.197889979856","-56.3715525667098","90018"
"40991-264","MG","Baldim","264","-19.286437303571","-43.9570406413178","40991"
"94498-123","GO","Mambaí","123","-14.4875342637462","-46.1139474126744","94498"
"23833-043","PE","Catende","43","-8.670307499718421","-35.7216666573487","23833"
"86762-099","RS","Gramado dos Loureiros","99","-27.4443850206347","-52.9182179830321","86762"
"90522-022","MT","Cláudia","22","-11.5053107372794","-54.8741824477688","90522"
"53538-267","MG","Sobrália","267","-19.2355492873163","-42.0986538397189","53538"
"89109-029","RS","Canudos do Vale","29","-29.3235252954934","-52.2323826172485","89109"
"53333-190","MG","Serra dos Aimorés","190","-17.7857470177162","-40.2431685749409","53333"
"40703-094","MG","São João da Lagoa","94","-16.8520551562038","-44.3490885621947","40703"
"94994-035","TO","Novo Acordo","35","-9.968486465379559","-47.6681483922167","94994"
"25275-142","PE","Primavera","142","-8.33137608584738","-35.3539433948819","25275"
"60011-235","RJ","Rio de Janeiro","235","-22.877015","-43.421905","60011"
"16934-065","RN","Ipueira","65","-6.81555076166249","-37.1978561298861","16934"
"24538-099","PE","Itapetim","99","-7.37842852818136","-37.1884393109605","24538"
"93459-028","TO","Dois Irmãos do Tocantins","28","-9.261296709497","-49.0673386442723","93459"
"13307-067","CE","Ocara","67","-4.48506654440047","-38.5985379827902","13307"
"49212-200","MG","Ouro Preto","200","-20.3867763672491","-43.5064475197137","49212"
"58793-030","RJ","Piraí","30","-22.6287569091347","-43.8993511857657","58793"
"41238-026","MG","Belo Horizonte","26","-19.905704","-43.924268","41238"
"16497-029","RN","Carnaubais","29","-5.33978539414395","-36.8346423564497","16497"
"81582-045","SC","Bandeirante","45","-26.7689379005651","-53.64104958659","81582"
"81639-091","SC","Itapema","91","-27.0959378829199","-48.6173993861423","81639"
"60011-188","RJ","Rio de Janeiro","188","-22.849858","-43.310847","60011"
"71595-167","SP","Taciba","167","-22.3882662609409","-51.284773424105","71595"
"92215-144","GO","Anápolis","144","-16.3201519","-48.9513213","92215"
"35149-125","BA","Feira da Mata","125","-14.2105645053876","-44.283463938437","35149"
"41548-128","MG","São Domingos das Dores","128","-19.529446066682","-42.0095079969034","41548"
"02372-030","AM","Santa Isabel do Rio Negro","30","-0.416694831868121","-65.02002263951201","02372"
"25534-140","PE","Santa Maria do Cambucá","140","-7.831813425975931","-35.8852433390024","25534"
"93220-089","GO","Terezópolis de Goiás","89","-16.4789604608599","-49.09178492309209","93220"
"75000-122","PR","Itaipulândia","122","-25.1384806502357","-54.3050007423361","75000"
"70173-186","SP","Santa Bárbara d'Oeste","186","-22.7553934993264","-47.4139547662303","70173"
"82937-044","SC","Rio Fortuna","44","-28.1325913878527","-49.105093802571","82937"
"06050-002","AP","Macapá","2","0.0340239","-51.0625976","06050"
"91650-009","MS","Três Lagoas","9","-20.7994888","-51.6782034","91650"
"61174-080","SP","Altair","80","-20.5233048809838","-49.0601107542409","61174"
"34835-051","BA","Coronel João Sá","51","-10.2793953998943","-37.9329643376141","34835"
"18910-013","RN","Várzea","13","-6.34879989052301","-35.374790664391","18910"
"67938-163","SP","Osvaldo Cruz","163","-21.7970834993489","-50.8731391102635","67938"
"87971-144","RS","Planalto","144","-27.331463874696","-53.058880813139","87971"
"63550-245","SP","Corumbataí","245","-22.2189967495097","-47.6266101304082","63550"
"41327-002","MG","Pedra Bonita","2","-20.5200184899524","-42.3321344916825","41327"
"31518-003","SE","Graccho Cardoso","3","-10.228549","-37.197587","31518"
"71072-260","SP","São Paulo","260","-23.5960347","-46.6065036","71072"
"50130-082","MG","Pirajuba","82","-19.9085049080224","-48.69663806380121","50130"
"04910-078","PA","Mocajuba","78","-2.58287297318646","-49.50902346127291","04910"
