"id","uf_zona","municipio","lat","long"
"01392-010","AC-010","Rio Branco",-9.918394,-67.822928
"38490-020","BA-020","Salvador",-12.932528,-38.48377
"14273-041","CE-ITAPAJE","Itapajé",-3.683996,-39.58607
"97012-007","DF-007","Brasília",-15.676303,-48.191985
"97012-012","DF-012","Brasília",-15.81529,-48.10573
"93734-126","GO-126","Goiânia",-16.69624,-49.270748
"09210-088","MA-088","São Luís",-2.507141,-44.212624
"09210-090","MA-090","São Luís",-2.611786,-44.248332
"09210-091","MA-091","São Luís",-2.550108,-44.330482
"41777-051","MG-BRAZOPOLIS","Brazópolis",-22.474018,-45.617031
"55050-038","MS-PARAISO DAS AGUAS","Paraíso das Águas",-19.023336,-53.010847
"90670-001","MT-001","Cuiabá",-15.582186,-56.090833
"90670-037","MT-037","Cuiabá",-15.61171,-56.084596
"90670-039","MT-039","Cuiabá",-15.595255,-56.13103
"90670-039","MT-051","Cuiabá",-15.553267,-56.044041
"90670-054","MT-054","Cuiabá",-15.600398,-56.057574
"90670-055","MT-055","Cuiabá",-15.639406,-56.025704
"91391-005","MT-POXOREU","Poxoréo",-15.835721,-54.389184
"04278-077","PA-077","Belém",-1.41498,-48.475984
"04120-058","PA-ELDORADO DO CARAJAS","Eldorado do Carajás",-6.100546,-49.374127
"04863-020","PA-MOJUI DOS CAMPOS","Mojuí dos Campos",-2.682189,-54.642485
"05290-036","PA-SANTA IZABEL DO PARA","Santa Izabel do Pará",-1.299425,-48.16209
"19666-053","PB-JOCA CLAUDINO","Joca Claudino",-6.483749,-38.478961
"22098-023","PB-SAO VICENTE DO SERIDO","São Vicente do Seridó",-6.934267,-36.402536
"24775-103","PE-103","Limoeiro",-7.872992,-35.440505
"25313-148","PE-148","Recife",-8.112454,-34.945599
"25313-151","PE-151","Recife",-8.012635,-34.9051
"24376-066","PE-IGUARACY","Iguaracy",-7.834932,-37.514866
"60011-001","RJ-001","Rio de Janeiro",-22.897495,-43.185659
"60011-002","RJ-002","Rio de Janeiro",-22.888967,-43.219251
"60011-003","RJ-003","Rio de Janeiro",-22.93983,-43.178638
"60011-006","RJ-006","Rio de Janeiro",-22.919564,-43.220183
"60011-011","RJ-011","Rio de Janeiro",-22.834359,-43.285456
"60011-012","RJ-012","Rio de Janeiro",-22.875996,-43.338021
"60011-013","RJ-013","Rio de Janeiro",-22.935413,-43.337543
"60011-015","RJ-015","Rio de Janeiro",-22.863239,-43.366588
"60011-018","RJ-018","Rio de Janeiro",-22.970267,-43.186356
"60011-019","RJ-019","Rio de Janeiro",-22.915908,-43.237146
"60011-020","RJ-020","Rio de Janeiro",-22.896741,-43.287096
"58971-036","RJ-036","São Gonçalo",-22.81651,-43.053257
"59250-047","RJ-047","Volta Redonda",-22.507133,-44.09457
"58696-067","RJ-067","Nova Iguaçu",-22.712225,-43.440701
"58971-068","RJ-068","São Gonçalo",-22.824181,-43.070617
"58971-069","RJ-069","São Gonçalo",-22.850828,-43.008016
"58670-081","RJ-081","Nova Friburgo",-22.280508,-42.532963
"58696-082","RJ-082","Nova Iguaçu",-22.762573,-43.426751
"58777-085","RJ-085","Petrópolis",-22.51983,-43.192338
"58971-086","RJ-086","São Gonçalo",-22.851472,-43.09673
"58971-071","RJ-071","Niterói",-22.898168,-43.095879
"58971-072","RJ-072","Niterói",-22.906084,-43.062063
"58971-144","RJ-144","Niterói",-22.86494,-43.100008
"58971-199","RJ-199","Niterói",-22.936852,-43.025386
"58653-113","RJ-113","Niterói",-22.884438,-43.121778
"58653-114","RJ-114","Niterói",-22.9026,-43.129837
"58653-115","RJ-115","Niterói",-22.871005,-43.093966
"60011-117","RJ-117","Rio de Janeiro",-22.816506,-43.185845
"60011-121","RJ-121","Rio de Janeiro",-22.847301,-43.266678
"60011-124","RJ-124","Rio de Janeiro",-22.875332,-43.459925
"58971-134","RJ-134","São Gonçalo",-22.819417,-42.994314
"58971-135","RJ-135","São Gonçalo",-22.830271,-43.026337
"58971-136","RJ-136","São Gonçalo",-22.814053,-43.039424
"58971-137","RJ-137","São Gonçalo",-22.807975,-43.017652
"58653-140","RJ-140","Niterói",-22.905013,-43.108731
"58653-142","RJ-142","Niterói",-22.920891,-43.093754
"58653-143","RJ-143","Niterói",-22.880738,-43.101297
"60011-160","RJ-160","Rio de Janeiro",-22.855133,-43.252231
"60011-163","RJ-163","Rio de Janeiro",-22.919936,-43.176949
"60011-164","RJ-164","Rio de Janeiro",-22.916198,-43.19283
"60011-165","RJ-165","Rio de Janeiro",-22.984325,-43.202925
"60011-166","RJ-166","Rio de Janeiro",-22.952838,-43.174842
"60011-168","RJ-168","Rio de Janeiro",-22.867562,-43.286352
"60011-171","RJ-171","Rio de Janeiro",-22.928104,-43.236775
"60011-173","RJ-173","Rio de Janeiro",-22.921155,-43.256539
