"UF","COD_MUN_TSE","NOME_MUNICIPIO","DESCRICAO_CARGO","NUM_ZONA","QTDE_VOTOS"
"AC","01007","Bujari","GOVERNADOR","9","4937"
"AC","01015","Capixaba","GOVERNADOR","8","5119"
"AC","01023","Porto Acre","GOVERNADOR","10","8526"
"AC","01031","Santa Rosa do Purus","GOVERNADOR","3","1622"
"AC","01040","Marechal Thaumaturgo","GOVERNADOR","4","4939"
"AC","01058","Brasiléia","GOVERNADOR","6","11001"
"AC","01066","Porto Walter","GOVERNADOR","4","3380"
"AC","01074","Cruzeiro do Sul","GOVERNADOR","4","32373"
"AC","01082","Rodrigues Alves","GOVERNADOR","4","5816"
"AC","01090","Mâncio Lima","GOVERNADOR","4","7331"
"AC","01104","Jordão","GOVERNADOR","5","2353"
"AC","01112","Epitaciolândia","GOVERNADOR","6","6955"
"AC","01120","Acrelândia","GOVERNADOR","8","6986"
"AC","01139","Feijó","GOVERNADOR","7","12237"
"AC","01392","Rio Branco","GOVERNADOR","1","57162"
"AC","01392","Rio Branco","GOVERNADOR","10","56695"
"AC","01392","Rio Branco","GOVERNADOR","9","65864"
"AC","01457","Sena Madureira","GOVERNADOR","3","17805"
"AC","01473","Tarauacá","GOVERNADOR","5","14453"
"AC","01490","Xapuri","GOVERNADOR","2","8150"
"AC","01511","Plácido de Castro","GOVERNADOR","8","9781"
"AC","01538","Senador Guiomard","GOVERNADOR","8","12710"
"AC","01554","Manoel Urbano","GOVERNADOR","3","3706"
"AC","01570","Assis Brasil","GOVERNADOR","6","3669"
"AL","27006","Paripueira","GOVERNADOR","17","12729"
"AL","27014","Água Branca","GOVERNADOR","39","20154"
"AL","27022","Pariconha","GOVERNADOR","39","11229"
"AL","27030","Anadia","GOVERNADOR","4","18630"
"AL","27049","Estrela de Alagoas","GOVERNADOR","10","15696"
"AL","27057","Arapiraca","GOVERNADOR","22","97520"
"AL","27057","Arapiraca","GOVERNADOR","55","101351"
"AL","27065","Jequiá da Praia","GOVERNADOR","18","11082"
"AL","27073","Atalaia","GOVERNADOR","6","43298"
"AL","27081","Campestre","GOVERNADOR","14","6930"
"AL","27090","Barra de Santo Antônio","GOVERNADOR","17","13348"
"AL","27111","Barra de São Miguel","GOVERNADOR","18","8316"
"AL","27138","Batalha","GOVERNADOR","29","16691"
"AL","27154","Belém","GOVERNADOR","10","6933"
"AL","27170","Belo Monte","GOVERNADOR","29","6784"
"AL","27197","Boca da Mata","GOVERNADOR","48","28981"
"AL","27219","Branquinha","GOVERNADOR","9","10057"
"AL","27235","Cacimbinhas","GOVERNADOR","46","10816"
"AL","27251","Cajueiro","GOVERNADOR","23","20396"
"AL","27278","Campo Alegre","GOVERNADOR","47","30339"
"AL","27294","Campo Grande","GOVERNADOR","44","11606"
"AL","27316","Canapi","GOVERNADOR","27","18013"
"AL","27332","Capela","GOVERNADOR","23","18738"
"AL","27359","Carneiros","GOVERNADOR","51","8195"
"AL","27375","Chã Preta","GOVERNADOR","5","8545"
"AL","27391","Coité do Nóia","GOVERNADOR","22","11538"
"AL","27413","Colônia Leopoldina","GOVERNADOR","24","20086"
"AL","27430","Coqueiro Seco","GOVERNADOR","15","6627"
"AL","27456","Coruripe","GOVERNADOR","7","53512"
"AL","27472","Delmiro Gouveia","GOVERNADOR","40","50684"
"AL","27499","Dois Riachos","GOVERNADOR","46","12312"
"AL","27510","Feira Grande","GOVERNADOR","55","23206"
"AL","27537","Feliz Deserto","GOVERNADOR","38","4775"
"AL","27553","Flexeiras","GOVERNADOR","53","11578"
"AL","27570","Girau do Ponciano","GOVERNADOR","44","33223"
"AL","27596","Ibateguara","GOVERNADOR","16","15221"
"AL","27618","Igaci","GOVERNADOR","45","25280"
"AL","27634","Igreja Nova","GOVERNADOR","30","24814"
"AL","27650","Inhapi","GOVERNADOR","27","17059"
"AL","27677","Jacaré dos Homens","GOVERNADOR","29","6849"
"AL","27693","Jacuípe","GOVERNADOR","14","7671"
"AL","27715","Japaratinga","GOVERNADOR","25","8691"
"AL","27731","Jaramataia","GOVERNADOR","31","6668"
"AL","27758","Joaquim Gomes","GOVERNADOR","53","19331"
"AL","27774","Jundiá","GOVERNADOR","14","5424"
