HTTP/1.1 200 OK
Date: Thu, 09 Nov 2017 23:39:12 GMT
Server: Apache/2.4.18 (Ubuntu)
Content-Disposition: attachment; filename=VOTOS_GOVERNADOR_MUNZONA_2010.csv
Set-Cookie: session=eyJsb2NhbGUiOnsiIGIiOiJjSFE9In19.DOZ4oA.JH5d3mY2TL9VgS-JS2_WKOFYxwg; HttpOnly; Path=/
Content-Length: 286245
Content-Type: text/csv; charset=utf-8

"NUM_ZONA","UF","DESCRICAO_CARGO","NOME_MUNICIPIO","QTDE_VOTOS"
"1","AC","GOVERNADOR","Rio Branco","57162"
"1","AL","GOVERNADOR","Maceió","163078"
"1","AM","GOVERNADOR","Manaus","103995"
"1","AP","GOVERNADOR","Amapá","8788"
"1","AP","GOVERNADOR","Pracuúba","4048"
"1","BA","GOVERNADOR","Salvador","55806"
"1","CE","GOVERNADOR","Fortaleza","101502"
"1","DF","GOVERNADOR","Brasília","170308"
"1","ES","GOVERNADOR","Vitória","123992"
"1","GO","GOVERNADOR","Goiânia","135606"
"1","MA","GOVERNADOR","São Luís","44552"
"1","MG","GOVERNADOR","Abaeté","14464"
"1","MG","GOVERNADOR","Cedro do Abaeté","978"
"1","MG","GOVERNADOR","Paineiras","3293"
"1","MS","GOVERNADOR","Amambai","17920"
"1","MS","GOVERNADOR","Coronel Sapucaia","7306"
"1","MT","GOVERNADOR","Cuiabá","43538"
"1","PA","GOVERNADOR","Belém","130997"
"1","PB","GOVERNADOR","João Pessoa","155506"
"1","PE","GOVERNADOR","Recife","59053"
"1","PI","GOVERNADOR","Teresina","226829"
"1","PR","GOVERNADOR","Curitiba","100957"
"1","RJ","GOVERNADOR","Rio de Janeiro","21181"
"1","RN","GOVERNADOR","Natal","68691"
"1","RO","GOVERNADOR","Guajará-Mirim","40362"
"1","RO","GOVERNADOR","Nova Mamoré","20932"
"1","RR","GOVERNADOR","Boa Vista","125927"
"1","RS","GOVERNADOR","Porto Alegre","94790"
"1","SC","GOVERNADOR","Araranguá","38128"
"1","SC","GOVERNADOR","Balneário Arroio do Silva","5628"
"1","SC","GOVERNADOR","Maracajá","4587"
"1","SE","GOVERNADOR","Aracaju","96436"
"1","SP","GOVERNADOR","São Paulo","135732"
"1","TO","GOVERNADOR","Araguaína","74614"
"10","AC","GOVERNADOR","Porto Acre","8526"
"10","AC","GOVERNADOR","Rio Branco","56695"
"10","AL","GOVERNADOR","Belém","6933"
"10","AL","GOVERNADOR","Estrela de Alagoas","15696"
"10","AL","GOVERNADOR","Palmeira dos Índios","74545"
"10","AM","GOVERNADOR","Fonte Boa","8685"
"10","AP","GOVERNADOR","Cutias","5199"
"10","AP","GOVERNADOR","Itaubal","5980"
"10","AP","GOVERNADOR","Macapá","161289"
"10","BA","GOVERNADOR","Salvador","99890"
"10","CE","GOVERNADOR","Jaguaribe","20875"
