id;uf;nome;populacao2010;pib2010;pibPerCapita2010;populacao2012;pib2012;pibPerCapita2012;populacao2014;pib2014;pibPerCapita2014;gini2000;gini2010
4309001;RS;Giruá;17085;377335.491;22085.78;16823;376564.864;22383.93;17269;572587.647;33156.97;0.5989;0.5377
4210704;SC;Matos Costa;2838;26335.395;9279.56;2784;36257.263;13023.44;2729;34757.881;12736.49;0.6085;0.4572
1703800;TO;Buriti do Tocantins;9770;49310.066;5047.09;10059;57976.76;5763.67;10681;68085.236;6374.43;0.6318;0.5732
4112405;PR;Japurá;8547;90755.347;10618.39;8669;120311.765;13878.39;9095;167166.522;18380.05;0.4344;0.3558
3506201;SP;Bento de Abreu;2674;105467.985;39442.03;2717;113812.657;41889.09;2855;109569.687;38378.17;0.384;0.3847
3555356;SP;Ubarana;5286;261151.879;49404.44;5451;293715.474;53882.86;5822;207541.886;35647.87;0.43;0.3594
2801702;SE;Cristinápolis;16519;120217.835;7277.55;16859;122634.005;7274.1;17726;176023.683;9930.25;0.6026;0.5002
4128807;PR;Xambrê;6011;42122.633;7007.59;5939;54324.807;9147.13;6047;67583.547;11176.38;0.5366;0.4879
2703403;AL;Jacaré dos Homens;5413;29606.707;5469.56;5352;39086.193;7303.1;5469;35825.44;6550.64;0.6942;0.5015
3522604;SP;Itapira;68365;1924254.299;28146.78;69317;2401818.524;34649.78;72514;2989267.188;41223.31;0.5212;0.4611
5210158;GO;Ipiranga de Goiás;2844;22763.376;8004;2848;34308.657;12046.58;2935;43060.266;14671.3;...;0.43
2605103;PE;Custódia;34305;232834.064;6787.18;34442;276959.881;8041.34;35884;329931.233;9194.38;0.6114;0.5359
3113008;MG;Caraí;22343;100764.75;4509.9;22549;101747.175;4512.27;23458;129018.462;5499.98;0.5565;0.5365
2916401;BA;Itapetinga;68314;1022599.667;14969.11;69903;887014.964;12689.23;75440;898628.762;11911.83;0.5857;0.4962
2506806;PB;Ingá;18180;89372.757;4915.99;17555;105237.929;5994.76;17978;128865.926;7167.98;0.5127;0.5013
3129400;MG;Ibertioga;5029;32863.556;6534.81;5021;43370.284;8637.78;5159;53712.395;10411.4;0.5561;0.4322
3525300;SP;Jaú;131068;2548015.744;19440.41;133900;3219076.348;24040.9;141703;4002111.117;28242.95;0.4977;0.4638
4309050;RS;Glorinha;6885;291730.028;42371.83;7074;358616.632;50695.03;7443;321145.656;43147.34;0.526;0.4225
2408508;RN;Ouro Branco;4699;23515.35;5004.33;4704;31564.786;6710.2;4866;39068.826;8028.94;0.5094;0.4315
2310209;CE;Paracuru;31638;252871.923;7992.66;32255;342302.744;10612.39;33178;425742.43;12832.07;0.6061;0.5525
2932804;BA;Utinga;18193;75855.725;4169.5;18367;102599.907;5586.1;19490;129779.174;6658.76;0.5513;0.6253
4311734;RS;Mampituba;2997;24518.815;8181.12;2988;28982.846;9699.75;3085;43274.37;14027.35;0.4796;0.4691
3145802;MG;Onça de Pitangui;3197;27078.236;8469.89;3066;34646.407;11300.2;3171;45509.31;14351.72;0.5124;0.4376
3555406;SP;Ubatuba;78870;896600.338;11368.08;80604;1198118.585;14864.26;85399;1658499.126;19420.59;0.5849;0.5971
1507409;PA;São Francisco do Pará;15196;96493.964;6349.96;15184;93222.428;6139.52;15341;167864.149;10942.19;0.6359;0.4851
3162203;MG;São João Batista do Glória;6890;78931;11455.88;6981;108229.284;15503.41;7292;121399.909;16648.37;0.5213;0.4537
3522653;SP;Itapirapuã Paulista;3884;19686.187;5068.53;3926;25048.442;6380.14;4109;30183.403;7345.68;0.7063;0.5351
2105104;MA;Icatu;25147;64493.838;2564.67;25698;82947.989;3227.8;26240;113107.173;4310.49;0.6039;0.5876
2605152;PE;Dormentes;16915;94862.648;5608.2;17296;134831.862;7795.55;18126;164053.429;9050.72;0.569;0.4708
4309100;RS;Gramado;32300;904019.544;27988.22;32829;1209337.822;36837.49;34365;1508977.708;43910.31;0.489;0.4888
2310258;CE;Paraipaba;30041;182868.433;6087.3;30733;224777.279;7313.87;31705;329625.963;10396.66;0.5701;0.5116
4210803;SC;Meleiro;7002;129313.21;18468.04;6988;143967.657;20602.13;7076;172002.977;24307.94;0.6487;0.4347
4112504;PR;Jardim Alegre;12325;108288.919;8786.12;12121;147856.155;12198.35;12280;192225.241;15653.52;0.5501;0.6144
3145851;MG;Oratórios;4486;27555.776;6142.62;4514;36397.428;8063.23;4673;43273.761;9260.38;0.3729;0.3952
3506300;SP;Bernardino de Campos;10777;114787.486;10651.15;10784;148594.786;13779.19;11146;177947.366;15965.13;0.5388;0.456
1714880;TO;Nova Olinda;10686;146027.013;13665.26;10883;195961.08;18006.16;11408;224550.212;19683.57;0.6381;0.5329
1507458;PA;São Geraldo do Araguaia;25584;166439.148;6505.6;25277;258913.19;10243.03;24828;288679.324;11627.17;0.6244;0.532
4309126;RS;Gramado dos Loureiros;2269;23739.455;10462.52;2228;21869.404;9815.71;2282;41877.216;18351.1;0.5215;0.5104
1507466;PA;São João da Ponta;5265;23155.053;4397.92;5451;28350.805;5201.03;5703;35430.141;6212.54;0.6727;0.5377
2900108;BA;Abaíra;8324;34564.383;4152.38;8659;42148.124;4867.55;9243;55376.886;5991.22;0.54;0.4742
2703502;AL;Jacuípe;6986;45266.44;6479.59;6950;45162.392;6498.19;7177;80332.161;11193;0.5771;0.47
3522703;SP;Itápolis;40064;850559.842;21230.03;40399;1174685.536;29077.09;42135;1167131.672;27699.81;0.5462;0.4538
1507474;PA;São João de Pirabas;20644;74769.088;3621.83;21125;94878.125;4491.27;21767;126200.763;5797.8;0.6352;0.5875
3113107;MG;Caranaíba;3288;15434.886;4694.31;3260;21956.06;6734.99;3330;25313.781;7601.74;0.4938;0.4423
2916500;BA;Itapicuru;32278;205373.166;6362.64;33008;249320.484;7553.34;35632;325015.547;9121.45;0.5718;0.5499
3145877;MG;Orizânia;7284;33491.033;4597.89;7409;43130.268;5821.33;7767;56997.854;7338.46;0.5381;0.5562
4218905;SC;Urubici;10702;149489.121;13968.34;10767;154540.488;14353.16;11058;216801.023;19605.81;0.5823;0.5359
2506905;PB;Itabaiana;24483;132520.861;5412.77;24372;171713.74;7045.53;24613;228976.408;9303.07;0.5233;0.5022
2408607;RN;Paraná;3952;18006.123;4556.21;4001;20712.24;5176.77;4194;28003.017;6676.92;0.6351;0.4992
2310308;CE;Parambu;31320;118591.643;3786.45;31160;130923.726;4201.66;31376;175534.982;5594.56;0.5713;0.5352
3129509;MG;Ibiá;23265;486188.367;20897.85;23547;625622.98;26569.12;24613;737479.004;29962.99;0.6672;0.5166
2932903;BA;Valença;88729;768017.847;8655.77;90319;919171.726;10176.95;96507;1196823.537;12401.42;0.6047;0.5539
1711100;TO;Itaporã do Tocantins;2439;22390.495;9180.19;2434;27516.281;11304.96;2482;33786.03;13612.42;0.5547;0.4449
1704105;TO;Centenário;2565;15278.861;5956.67;2627;20555.022;7824.52;2771;24631.191;8888.92;0.6208;0.6363
3145901;MG;Ouro Branco;35260;2047668.344;58073.41;36006;2845778.04;79036.22;37878;3113039.577;82185.95;0.5549;0.5211
3301405;RJ;Conceição de Macabu;21200;179531.541;8468.47;21613;230196.151;10650.82;22006;271792.728;12350.85;0.5082;0.4924
3555505;SP;Ubirajara;4429;40283.721;9095.44;4468;48148.44;10776.28;4662;62289.247;13361.06;0.4732;0.4219
1720499;TO;São Valério;4384;36556.367;8338.59;4282;40926.487;9557.8;4267;74542.971;17469.64;0.6233;0.5703
1507508;PA;São João do Araguaia;13149;54398.241;4137.06;13293;78228.952;5884.97;13470;90453.643;6715.19;0.6122;0.5573
3506359;SP;Bertioga;47572;1097980.295;23080.39;50304;1313178.789;26104.86;55138;1536747.052;27870.92;0.5229;0.4924
3162302;MG;São João da Mata;2732;21771.877;7969.21;2728;31184.823;11431.39;2809;35635.776;12686.29;0.4604;0.4016
5210307;GO;Israelândia;2888;27505.74;9524.15;2870;34491.675;12018.01;2930;40055.89;13670.95;0.4839;0.4384
2108108;MA;Paulo Ramos;20087;81445.514;4054.64;20454;101280.507;4951.62;20539;132913.364;6471.27;0.5618;0.5702
4210902;SC;Modelo;4047;92868.765;22947.56;4063;113810.38;28011.42;4158;88171.687;21205.31;0.5245;0.4315
4309209;RS;Gravataí;255762;7295812.593;28525.79;259138;8412248.582;32462.43;270689;10863523.719;40132.86;0.4876;0.4578
4112603;PR;Jardim Olinda;1409;21546.205;15291.84;1392;25453.098;18285.27;1416;27847.392;19666.24;0.65;0.4443
3304144;RJ;Queimados;137938;2032470.709;14734.67;140374;3060379.673;21801.61;142709;3946299.878;27652.78;0.4881;0.4584
3506409;SP;Bilac;7052;93940.965;13321.18;7193;122305.339;17003.38;7602;145636.425;19157.65;0.4906;0.4309
2801900;SE;Cumbe;3813;23624.02;6195.65;3839;28968.868;7545.94;3970;35818.047;9022.18;0.4668;0.4877
2900207;BA;Abaré;17072;60848.712;3564.24;17685;73066.072;4131.53;19290;107414.137;5568.38;0.5528;0.5621
2703601;AL;Japaratinga;7752;45970.709;5930.17;7888;53384.974;6767.87;8294;92270.678;11124.99;0.5954;0.5178
